place_id,visit_no,ratings,animal_id
2069,1,2.71,10018
2039,7,4.8,10037
2033,1,2.28,10065
2021,8,1.59,10055
2040,4,2.68,10003
2067,4,1.44,10030
2024,1,2.67,10040
2037,2,1.96,10053
2043,3,1.99,10061
2056,4,3.82,10017
2003,9,4.52,10025
2029,7,2.6,10025
2054,2,3.55,10036
2059,7,2.06,10039
2027,5,4.91,10032
2001,3,1.81,10012
2050,6,3.63,10031
2005,2,2.71,10022
2069,5,3.3,10047
2007,3,4.65,10059
2022,1,2.44,10056
2029,10,3.7,10002
2004,5,2.37,10021
2053,3,1.97,10038
2058,7,3.57,10039
2040,9,3.09,10023
2011,7,1.44,10040
2034,9,2.68,10060
2010,6,2.32,10066
2055,4,4.87,10033
2049,10,4.07,10042
2007,6,1.11,10066
2056,1,2.67,10046
2067,9,2.83,10054
2059,6,2.59,10044
2062,6,4.6,10014
2046,1,2.21,10026
2048,6,3.99,10033
2024,6,2.4,10039
2018,10,2.54,10039
2005,3,1.52,10017
2003,2,3.25,10036
2064,10,2.78,10013
2044,2,1.61,10013
2057,2,4.79,10059
2018,7,3.57,10061
2068,4,4.4,10030
2018,6,4.33,10029
2041,1,1.35,10054
2064,3,3.62,10018
2058,4,2.88,10015
2017,2,2.32,10036
2014,4,3.39,10030
2016,6,4.27,10048
2016,3,1.64,10041
2023,10,1.69,10002
2046,10,3.63,10035
2062,4,1.67,10061
2042,6,1.53,10005
2059,10,4.14,10015
2028,2,2.05,10005
2064,7,3.7,10038
2015,5,1.91,10012
2038,9,1.79,10020
2034,2,1.98,10004
2013,10,1.33,10011
2068,6,4.47,10050
2053,10,2.62,10032
2056,7,1.03,10030
2055,9,3.9,10056
2058,10,1.27,10049
2004,2,4.92,10022
2022,9,4.64,10031
2007,9,3.69,10045
2015,6,1.03,10025
2046,4,3.81,10022
2011,1,1.81,10030
2060,5,2.22,10012
2054,8,2.76,10054
2062,3,4.39,10048
2013,8,3.89,10040
2010,9,3.2,10004
2016,8,3.62,10026
2033,2,4.86,10001
2060,3,2.48,10053
2066,8,4.37,10010
2033,10,4.68,10035
2043,6,4.38,10041
2008,6,2.15,10030
2010,7,3.56,10054
2047,7,1.79,10045
2041,3,2.91,10052
2059,9,4.58,10053
2041,7,4.09,10058
2023,3,1.28,10011
2003,7,2.9,10022
2055,10,4.05,10032
2012,10,1.25,10066
2064,5,3.96,10037
2014,6,3.77,10063
2042,3,1.32,10052
2006,6,3.09,10061
2008,8,1.84,10022
2031,1,3.29,10052
2038,8,1.27,10002
2012,6,1.9,10016
2044,5,4.93,10019
2040,5,2.14,10020
2033,8,1.02,10035
2037,6,4.62,10009
2004,4,4.69,10007
2055,5,3.64,10013
2053,2,4.8,10035
2047,2,2.83,10037
2014,7,1.87,10001
2008,1,1.62,10065
1090,9,4.15,10009
1066,9,3.09,10037
1043,5,1.89,10013
1030,10,3.49,10021
1016,2,4.13,10009
1078,1,2.73,10012
1088,5,3.47,10010
1059,3,2.47,10011
1060,2,4.71,10038
1098,9,1.97,10041
1096,5,3.61,10062
1010,3,1.51,10063
1060,7,3.42,10012
1074,3,2.27,10045
1037,7,4.19,10013
1034,9,1.84,10063
1091,9,3.85,10006
1034,2,4.97,10041
1009,10,2.7,10009
1037,5,4.25,10027
1065,8,3.4,10026
1003,8,1.43,10003
1081,1,4.96,10054
1054,5,2.4,10018
1041,5,3.29,10065
1017,2,4.16,10025
1088,9,4.37,10012
1023,2,4.93,10023
1084,4,2.64,10025
1019,6,1.04,10051
1067,2,2.32,10057
1072,1,3.14,10053
1080,10,1.52,10027
1082,6,1.47,10032
1003,1,4.82,10044
1065,10,1.32,10065
1075,6,3.43,10054
1076,4,2.24,10002
1034,3,4.3,10049
1087,5,4.08,10021
1074,10,1.62,10032
1057,6,2.81,10065
1020,1,2.95,10015
1050,8,2.22,10002
1014,5,2.62,10047
1092,10,4.88,10057
1057,9,2.98,10021
1069,10,2.07,10034
1058,8,4.79,10053
1042,10,2.75,10063
1057,5,3.88,10011
1048,1,4.97,10016
1054,4,1.09,10060
1097,2,4.91,10061
1085,8,3.14,10029
1077,10,1.47,10053
1089,4,3.65,10007
1038,6,4.37,10005
1028,6,3.72,10017
1058,6,2.44,10038
1044,4,2.98,10017
1058,7,4.66,10033
1083,8,3.63,10005
1065,4,3.2,10028
1019,5,2.57,10043
1024,2,2.24,10060
1056,3,2.46,10008
1001,10,1.74,10041
1084,8,1.39,10049
1050,3,2.16,10008
1035,4,1.43,10054
1035,10,4.27,10015
1078,4,3.46,10037
1013,2,4.58,10008
1076,10,1.36,10010
